test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.5664,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5611,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5681,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5685,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5684,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512

antihebb softmax:

0.5766,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5858,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5772,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5808,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5841,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5773,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5816,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5796,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5829,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512
0.5867,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.0033,0.5,0.0033,512


antihebb repu:

0.5837,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5769,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5835,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5774,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5757,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5745,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5827,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5844,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
0.5832,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512
