test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.5198,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5145,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5175,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5163,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.52,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5199,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5205,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5129,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.517,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5131,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5435,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5534,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5336,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5523,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5325,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5527,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5347,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5536,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5316,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5261,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5457,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5341,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5476,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5297,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.554,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5273,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5536,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5288,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5284,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5521,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5178,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.518,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5163,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5174,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5166,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5184,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5161,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.524,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5194,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5324,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5567,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5334,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5513,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5537,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5496,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5431,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5263,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5515,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5485,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5265,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5554,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5307,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5302,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5517,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5271,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5519,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.554,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5252,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5312,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256


with anti-hebbian RePU:


0.4886,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4793,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4713,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4861,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4695,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5179,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5301,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5336,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5336,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5215,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5407,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.524,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.533,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5297,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.52,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4719,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4805,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4795,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4745,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.4752,1,False,2,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5428,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5327,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5428,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5305,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5474,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.523,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5178,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.534,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5469,1,True,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001
0.5302,1,False,1,True,True,True,RePU,125,0.0006,0.0001,0.1,0.3,0.001

anti-hebbian Softmax:

0.5359,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5268,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5266,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.534,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.535,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5745,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5576,1,False,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5527,1,False,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5862,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5862,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.55,1,False,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.546,1,False,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5781,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5506,1,False,1,True,True,True,Softmax,500,0.001,0.0001,0.01,0.1,0.0033,512
