test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.4777,1,False,2,True,True,True,RePU,125,0.01,0.0033,0.01,0.01,0.01
0.1004,1,False,2,True,True,True,RePU,125,0.01,0.1,0.01,0.01,0.01
0.437,1,False,2,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.4863,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.1003,1,False,2,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
0.4816,1,False,2,True,True,True,RePU,125,0.01,0.001,0.01,0.01,0.01
0.4535,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.3059,1,True,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.101,1,True,1,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
0.4565,1,True,1,True,True,True,RePU,125,0.01,0.001,0.01,0.01,0.01
0.1014,1,True,1,True,True,True,RePU,125,0.01,0.1,0.01,0.01,0.01
0.4548,1,True,1,True,True,True,RePU,125,0.01,0.0033,0.01,0.01,0.01
0.4511,1,False,1,True,True,True,RePU,125,0.01,0.001,0.01,0.01,0.01
0.4329,1,False,1,True,True,True,RePU,125,0.01,0.0033,0.01,0.01,0.01
0.1011,1,False,1,True,True,True,RePU,125,0.01,0.1,0.01,0.01,0.01
0.1005,1,False,1,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
0.4437,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.3965,1,False,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.1006,1,False,2,True,True,True,RePU,125,0.01,0.1,0.01,0.01,0.01
0.1002,1,False,2,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
0.4275,1,False,2,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.4878,1,False,2,True,True,True,RePU,125,0.01,0.001,0.01,0.01,0.01
0.4852,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.4592,1,False,2,True,True,True,RePU,125,0.01,0.0033,0.01,0.01,0.01
0.1006,1,True,1,True,True,True,RePU,125,0.01,0.3,0.01,0.01,0.01
