test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.4927,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4916,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.1,0.01
0.4891,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.5,0.01
0.4834,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4923,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.001,0.01
0.4845,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.0033,0.01
0.4492,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.1,0.01
0.4796,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4768,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4707,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.001,0.01
0.4783,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.5,0.01
0.4599,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.0033,0.01
0.4623,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4515,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.1,0.01
0.4526,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.001,0.01
0.4691,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.5,0.01
0.4453,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4375,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.0033,0.01
0.4828,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.5,0.01
0.4889,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4828,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.3,0.01
0.4873,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.1,0.01
