test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.7329,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7202,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.72,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7094,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7314,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7108,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7273,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7051,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7073,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7291,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7155,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.6957,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7045,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.6947,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7129,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7137,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.718,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.6882,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7087,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.7266,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
